trace_id,target_model,run_model,fallback_used,subject,question_uuid,ground_truth_answer_modified,parsed_solution_choice,matches_ground_truth_modified,generation_seconds,format_warnings
Qwen/Qwen2.5-7B-Instruct::3f529e69-94d0-47ed-8a41-7b0c3013ce64,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,False,high_school_biology,3f529e69-94d0-47ed-8a41-7b0c3013ce64,B,B,True,7.278,[]
Qwen/Qwen2.5-7B-Instruct::95787a82-612a-4791-8900-efec57d464ae,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,False,high_school_biology,95787a82-612a-4791-8900-efec57d464ae,D,B,False,8.042,"[""5_lines_without_step_or_solution_prefix""]"
Qwen/Qwen2.5-7B-Instruct::9c50d98f-47a4-4081-a747-b2304fe3e0f7,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,False,high_school_biology,9c50d98f-47a4-4081-a747-b2304fe3e0f7,D,D,True,6.37,[]
Qwen/Qwen2.5-7B-Instruct::127ba68f-f6ac-4aae-b425-b2158d16d5bf,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,False,high_school_biology,127ba68f-f6ac-4aae-b425-b2158d16d5bf,C,C,True,7.709,"[""5_lines_without_step_or_solution_prefix""]"
Qwen/Qwen2.5-7B-Instruct::e313dea2-4133-421a-90a8-a334a3bce247,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,False,high_school_biology,e313dea2-4133-421a-90a8-a334a3bce247,B,B,True,6.233,[]
Qwen/Qwen2.5-7B-Instruct::853ce29e-898e-4a7d-9203-d51869ab9002,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,False,high_school_biology,853ce29e-898e-4a7d-9203-d51869ab9002,D,B,False,6.679,[]
Qwen/Qwen2.5-7B-Instruct::447801b7-18c8-4e21-96e7-a9fe66a327dc,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,False,high_school_biology,447801b7-18c8-4e21-96e7-a9fe66a327dc,D,D,True,9.322,[]
Qwen/Qwen2.5-7B-Instruct::c147285c-6fa3-4d82-bf67-64b987e03fd1,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,False,high_school_biology,c147285c-6fa3-4d82-bf67-64b987e03fd1,D,D,True,5.46,[]
Qwen/Qwen2.5-7B-Instruct::d93bae40-bdff-4db2-ac3c-3847744ab959,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,False,high_school_biology,d93bae40-bdff-4db2-ac3c-3847744ab959,A,A,True,8.224,[]
Qwen/Qwen2.5-7B-Instruct::088bc86e-175d-4edb-8394-2671e8d5d1aa,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,False,high_school_biology,088bc86e-175d-4edb-8394-2671e8d5d1aa,D,D,True,5.338,[]
